Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road Width,Road Type,Build Area
"Flat Rent : Flat For Rent In Basundhara, Kathmandu","Kanti Marg, Basundhara, Basundhara, Kathmandu",Kathmandu,20000,2,1,3,1,6 Aana,10 Feet , Gravelled,N/A Aana
"Land For Sale : Land For Sale In Imadol, Lalitpur","Sitapakha, Imadol, Lalitpur",Lalitpur,2700000,0,0,N/A,0,8 Aana,14 Feet , Gravelled,N/A Aana
"Full Furnished House On Rent At Bhaisepati : House For Rent In Bhaisepati, Lalitpur","bhaisepati, Bhaisepati, Lalitpur",Lalitpur,150000,4,4,N/A,1,4.5 Aana,0 Feet,NA,N/A Aana
"Space On Rent For Office And Restaurant ... Baneshwor Chowk : Office Space For Rent In Baneshwor, Kathmandu","naya baneshwor, Baneshwor, Kathmandu",Kathmandu,450,0,0,N/A,0,2200 Sq. Feet,0 Feet,NA,N/A Aana
"Full Furnished House For Rent At Civil Homes Sunakothi Phase III : House For Rent In Civil Homes, Lalitpur","sunakothi, Civil Homes, Lalitpur",Lalitpur,60000,2,2,N/A,1,5 Aana,0 Feet,NA,N/A Aana
"Brand New Modern House For Sale At Basundhara Chowk, Inside Ring Road. : House For Sale In Basundhara, Kathmandu","Basundhara Chowk, Inside Ring Road, Basundhara, Kathmandu",Kathmandu,22500000,4,3,2,1,0-2.5-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"Exclusive Semi Bungalow For Sale At Golfutar Chowk 30 Mtr From Highway : House For Sale In Golfutar, Kathmandu","Golfutar Chowk, 30 Meter From Highway, Golfutar, Kathmandu",Kathmandu,45000000,0,4,3,2,0-6-0-0 Aana,20 Feet , Blacktopped,N/A Aana
"Townplanning 13 Ana Bungalow : House For Sale In Samakhusi, Kathmandu","Na, Samakhusi, Kathmandu",Kathmandu,85000000,5,6,3,4,13 Aana,20 Feet , Blacktopped,N/A Aana
"Siddarth Colony Under Construction Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,160000000,6,6,3,5,21 Aana,20 Feet , Blacktopped,N/A Aana
"Baluwatar 2 Ropani Land : Land For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,7500000,0,0,N/A,0,2-0-0-0 Aana,15 Feet , Blacktopped,N/A Aana
"Samakhusi 11 Ana Flat Home : House For Sale In Samakhusi, Kathmandu","Na, Samakhusi, Kathmandu",Kathmandu,61000000,12,8,4,4,11 Aana,13 Feet , Blacktopped,N/A Aana
"Golfutar Home : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,45000000,6,6,3,2,6 Aana,15 Feet , Blacktopped,N/A Aana
"Mitrapark Bungalow : House For Sale In Chabahil, Kathmandu","Na, Chabahil, Kathmandu",Kathmandu,49500000,5,5,3,2,4.5 Aana,14 Feet , Blacktopped,N/A Aana
"Dhaneswor House For Sale : House For Sale In Baniyatar, Kathmandu","Na, Baniyatar, Kathmandu",Kathmandu,24000000,6,6,3,1,3.5 Aana,15 Feet , Blacktopped,N/A Aana
"Basundhara Semi Bungalow : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,45000000,6,6,3,4,8 Anand Aana,20 Feet , Blacktopped,N/A Aana
"Basundhara Home : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,60000000,7,7,3,4,10 ana Aana,15 Feet , Blacktopped,N/A Aana
"Basundhara Beautiful Home : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,22500000,5,5,3,1,2.5 Aana,14 Feet , Paved,N/A Aana
"South Facing Bungalow For Sale At Dhapasi Height With Great View In 22 Feet Road : House For Sale In Dhapasi, Kathmandu","Dhapasi Height, 700 meter out from ring road., Dhapasi, Kathmandu",Kathmandu,69000000,5,5,3,0,0-12-0-0 Aana,22 Feet , Blacktopped,N/A Aana
"Sitapaila Housing : Land For Sale In Sitapaila, Kathmandu","Na, Sitapaila, Kathmandu",Kathmandu,68000000,0,0,N/A,0,8 Aana,30 Feet , Blacktopped,N/A Aana
"18 Anna Land For Sale At Budhanilkantha, Opposite Park Village Resort : Land For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Opposite Park Village Resort, Main Road bata only 30 meters., Budhanilkantha, Kathmandu",Kathmandu,3700000,0,0,N/A,0,0-18-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"Budhanilkantha 17 Ana Bungalow : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,62000000,5,6,3,4,17 Aana,14 Feet , Gravelled,N/A Aana
"Parkvillage Budhanilkantha : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,3700000,0,0,N/A,0,18 ana Aana,15 Feet , Gravelled,N/A Aana
"Dhapasi Exclusive Bungalow : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,69000000,7,7,3,4,12 Aana,20 Feet , Blacktopped,N/A Aana
"Golfutar 6 Ana Exclusive Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,45000000,6,7,3,2,6 Aana,15 Feet , Blacktopped,2600 Aana
"East Face 12 Anna Bungalow For Sale At Naxal, 400 Mtr From Bhatbhateni : House For Sale In Naxal, Kathmandu","Naxal, 400 meter from Bhatbhateni., Naxal, Kathmandu",Kathmandu,65000000,6,5,2,0,0-12-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"VIP Semi-Bungalow On Sale In Akashedhara Height , 1 Km From Ringroad Sukhedhara : House For Sale In Sukedhara, Kathmandu","Akashedhara Height, Sukedhara, Kathmandu",Kathmandu,42000000,8,7,4,4,0-6-0-0 Aana,20 Feet , Paved,0-4-0-0 Aana
"1.5 Storey : House For Sale In Imadol, Lalitpur","Boje Pokhari, Imadol, Lalitpur",Lalitpur,13000000,2,1,1.35,1,0-3-2-0 Aana,10 Feet , Gravelled,N/A Aana
"1.5 Storey House : House For Sale In Imadol, Lalitpur","Boje Pokhari, Imadol, Lalitpur",Lalitpur,12700000,2,1,1.5,1,0-3-0-3 Aana,10 Feet , Gravelled,N/A Aana
"1.5 Storey : House For Sale In Imadol, Lalitpur","Nearby Green hill city, Imadol, Lalitpur",Lalitpur,11000000,2,1,1.5,1,0-2-2-0 Aana,16 Feet , Gravelled,N/A Aana
"Land For Sale In Mahendra Highway : Land For Sale In Bharatpur, Chitwan","haakim chowk, Bharatpur, Chitwan",Chitwan,3050000,0,0,N/A,0,26 Dhur,50 Meter , Blacktopped,26 Dhur
"House For Sale In Imadol, Lalitpur","nearby Pawan prakriti school., Imadol, Lalitpur",Lalitpur,12000000,2,1,1.5,1,0-3-0-0 Aana,13 Feet , Gravelled,N/A Aana
"House For Rent At Civil Homes Sunakothi Phase III : House For Rent In Civil Homes, Lalitpur","sunakothi, Civil Homes, Lalitpur",Lalitpur,65000,4,3,N/A,1,6 Aana,0 Feet,NA,N/A Aana
"One And Half Storied : House For Sale In Tikathali, Lalitpur","Nearby Panityanki, Tikathali, Lalitpur",Lalitpur,12500000,2,1,1.5,1,0-3-3-1 Aana,13 Feet , Gravelled,N/A Aana
"House For Sale In Budhanilkantha, Kathmandu","Akasedhara, Sagarmatha chwok, Budhanilkantha, Kathmandu",Kathmandu,19000000,8,4,3,1,0-3-2-0 Aana,10 Feet , Gravelled,2100 Sq. Feet
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","Nearby, Buddha party palace, Tikathali, Lalitpur",Lalitpur,11500000,2,1,1.5,1,0-2-3-2 Aana,13 Feet , Gravelled,N/A Aana
"10 Dhur Graderi On Sale : Land For Sale In Bharatpur, Chitwan","Bharatpur-15, Bharatpur, Chitwan",Chitwan,400000,0,0,N/A,0,1/2 Kattha,26 Feet , Blacktopped,200 Sq. Meter
"Attractive Building : House For Lease In Bharatpur, Chitwan","Bharatpur-4, Bharatpur, Chitwan",Chitwan,80000,6,3,3,10,2700 Sq. Feet,26 Feet , Blacktopped,1600 Sq. Feet
"Flat At Rent - Near SaSa Restaurant : Flat For Rent In Machhegaun, Kirtipur","Kirtipur, Machhegaun, Kirtipur",Kirtipur,16000,2,1,3,1,0-4-1-0 Aana,13 Feet , Soil Stabilized,0-3-7-0 Aana
"Apartment For Rent In Dhapakhel, Lalitpur","Downtown apartment, Dhapakhel, Lalitpur",Lalitpur,60000,3,2,N/A,1,1180 Sq. Feet,24 Feet , Blacktopped,1180 Sq. Feet
"One And Half Storied : House For Sale In Tikathali, Lalitpur","nearby Pawan prakriti school., Tikathali, Lalitpur",Lalitpur,15000000,2,1,1.5,1,0-4-0-2 Aana,16 Feet , Blacktopped,N/A Aana
"One And Half Storied : House For Sale In Tikathali, Lalitpur","Panityanki, Tikathali, Lalitpur",Lalitpur,11000000,2,1,1.5,1,0-3-0-0 Aana,13 Feet , Gravelled,N/A Aana
"Land For Sale In Changunarayan, Bhaktapur","Sudal, Changunarayan, Bhaktapur",Bhaktapur,1500000,0,0,N/A,0,6 Aana,12 Feet,NA,N/A Aana
"House On Rent At Karyabinay Colony : House For Rent In Bhaisepati, Lalitpur","karyabinayak colony, Bhaisepati, Lalitpur",Lalitpur,50000,4,4,N/A,1,0-4-0-0 Aana,12 Feet , Paved,N/A Aana
"House At Sale : House For Sale In Hetauda, Makwanpur","Manahari, Hetauda, Makwanpur",Makwanpur,20000000,4,4,2,4,0-4-0-0 / 322 Aana,14 Feet , Paved,0-4-0-0 / 322 Aana
"House For Rent In Kupondole : House For Rent In Kupondole, Lalitpur","kupondole, lalitpur, Kupondole, Lalitpur",Lalitpur,400000,0,5,5,3,9 Aana,1 Meter , Gravelled,16 Aana
"Baluwatar Russian Embassy : Land For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,7500000,0,0,N/A,0,2 -0-0-0 Aana,15 Feet , Blacktopped,N/A Aana
"Beautiful Piece Of 4 Anna Square Land For Sale At Golfutar : Land For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,4500000,0,0,N/A,0,0-4-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"Golfutar Land : Land For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,4600000,0,0,N/A,0,4-5 Aana,13 Feet , Blacktopped,N/A Aana
"Sundarbasti 4 Ana Home : House For Sale In Bhangal, Kathmandu","Na, Bhangal, Kathmandu",Kathmandu,23000000,5,5,3,1,4 Aana,13 Feet , Gravelled,N/A Aana
"East Facing 5.5 Anna Brand New House For Sale At Baluwatar : House For Sale In Baluwatar, Kathmandu","Baluwatar, Baluwatar, Kathmandu",Kathmandu,60000000,7,4,4,4,0-5.5-0-0 Aana,14 Feet , Blacktopped,N/A Aana
"Baluwatar Luxury Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,60000000,5,6,4,4,5.5 Aana,13 Feet , Paved,N/A Aana
"4 Anna 3.5 Floor House For Sale At Basundhara : House For Sale In Basundhara, Kathmandu","Basundhara, Basundhara, Kathmandu",Kathmandu,25500000,7,4,3,1,0-4-0-0 Aana,14 Feet , Blacktopped,N/A Aana
"South Facing 7 Anna Modern House For Sale At Samakhusi Chowk : House For Sale In Samakhusi, Kathmandu","Samakhusi Chowk, Samakhusi, Kathmandu",Kathmandu,55000000,5,4,2,2,0-7-0-0 Aana,14 Feet , Blacktopped,N/A Aana
"कान्तिपुर कोलोनीमा ( Lalitpur) नयाँ घर बिक्रिमा !! 192 Lakh (Negotiable ) : House For Sale In Nakhipot, Lalitpur","Kantipur Colony, Nakhipot, Lalitpur",Lalitpur,22200000,4,5,N/A,1,0-3-1-0 Aana,0 Feet,NA,N/A Aana
"Brand New House For Sale At Kapan, Kharibot. : House For Sale In Kapan, Kathmandu","Kapan, Kharibot, Kapan, Kathmandu",Kathmandu,24000000,5,3,2,1,0-3.3-0-0 Aana,13 Feet , Blacktopped,N/A Aana
"Samakhusi Luxury Bungalow : House For Sale In Samakhusi, Kathmandu","Na, Samakhusi, Kathmandu",Kathmandu,55000000,5,6,3,2,7 Aana,14 Feet , Blacktopped,N/A Aana
"Basundhara House For Sale : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,25500000,7,6,4,1,3.75 Aana,14 Feet , Blacktopped,N/A Aana
"5 Anna Land For Sale At Dhapasi, Near Krishna Mandi : Land For Sale In Dhapasi, Kathmandu","Dhapasi, Near Krishna Mandir, Dhapasi, Kathmandu",Kathmandu,2700000,0,0,N/A,0,0-5-0-0 Aana,15 Feet , Gravelled,N/A Aana
"East Facing 4 Anna Brand New Family Home For Sale At Mandikatar. : House For Sale In Mandikatar, Kathmandu","Mandikatar Faat, Mandikatar, Kathmandu",Kathmandu,27500000,6,3,2,1,0-4-0-0 Aana,15 Feet , Blacktopped,N/A Aana
"3 To 5 Anna Plot Lands At Chapali, Budhanilkantha, 4 Km From Ring Road : Land For Sale In Budhanilkantha, Kathmandu","Chapali, 4 Km From Ring Road, Budhanilkantha, Kathmandu",Kathmandu,2650000,0,0,N/A,0,3 to 5 Anna Aana,20 Feet , Soil Stabilized,N/A Aana
"Modern Bungalow For Sale At Rudreshwor Chowk, Budhanilkantha. 50 Meters From Main Highway. : House For Sale In Budhanilkantha, Kathmandu","Rudreshwor Chowk, 50 Meters From Main Highway., Budhanilkantha, Kathmandu",Kathmandu,63000000,5,4,2,2,0-10-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"10 Anna Land For Sale At Budhanilkantha, Rudreshwor Chowk, 20 Meters From Main Highway. : Land For Sale In Budhanilkantha, Kathmandu","20 Meters From Main Highway, Budhanilkantha, Kathmandu",Kathmandu,3500000,0,0,N/A,0,0-10-0-0 Aana,14 Feet , Blacktopped,N/A Aana
"17 Anna 5 BHK New Bungalow Sale At Budhanilkantha Near Park Village : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha Near Park Village., Budhanilkantha, Kathmandu",Kathmandu,60000000,5,5,2,0,0-17-0- Aana,20 Feet , Blacktopped,N/A Aana
"Brand New Semi Bungalow In 33 Feet Road, Beside Deuba Residence, Deuba Chowk, Budhanilkantha. : House For Sale In Budhanilkantha, Kathmandu","Beside Deuba House, Rudreshwor, Budhanilkantha, Kathmandu",Kathmandu,34500000,6,4,3,2,0-6-0-0 Aana,30 Feet , Blacktopped,N/A Aana
"5.2 Anna 3 Bhk East Facing Bungalow For Sale In Baluwatar, Tudaldevi. : House For Sale In Baluwatar, Kathmandu","Baluwatar, Tudaldevi., Baluwatar, Kathmandu",Kathmandu,39500000,3,3,2,2,0-5.2-0-0 Aana,15 Feet , Blacktopped,N/A Aana
"9 Anna Brand New Bungalow For Sale At Budhanilkantha, Taulung. : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Taulung., Budhanilkantha, Kathmandu",Kathmandu,38000000,0,3,2,3,0-9-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"One And Half Storied : House For Sale In Imadol, Lalitpur","Setipakha, Imadol, Lalitpur",Lalitpur,12000000,4,1,1.5,0,0-5-1-0 Aana,4 Feet , Concrete,N/A Aana
"House For Sale In Chakupat, Lalitpur","dathulan road house, Chakupat, Lalitpur",Lalitpur,8700000,0,2,3,0,1 Aana,1 Feet , Concrete,1 Aana
"House For Sale In Tikathali : House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,12500000,2,1,1,1,3 Aana,13 Feet,NA,N/A Aana
"House For Sale In Tikathali : House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,130000,2,1,1,1,3 Aana,15 Feet,NA,N/A Aana
"House For Rent Samakhusi : House For Rent In Samakhusi, Kathmandu","Samakhusi, Samakhusi, Kathmandu",Kathmandu,60000,0,0,3,0,5 Aana,13 Feet , Blacktopped,N/A Aana
"Fully Furnished House For Sale At Imadol, Sital Height : House For Sale In Imadol, Lalitpur","imadol, Imadol, Lalitpur",Lalitpur,23500000,4,4,3,1,3.75 Aana,13 Feet , Blacktopped,N/A Aana
"Full Furnished House On Rent In Dhapasi Height, Near Grande Hospital : House For Rent In Dhapasi, Kathmandu","Dhapasi Height, Dhapasi, Kathmandu",Kathmandu,60000,4,3,3,1,10 Aana,20 Feet , Blacktopped,3 Aana
"House For Sale In Imadol, Lalitpur","Krishna Mandir Area, Imadol, Lalitpur",Lalitpur,27000000,6,4,3,0,0-3-2-0 Aana,13 Feet , Blacktopped,N/A Aana
"4BHK Apartment In Sale- 1340 Sq Feet. : Apartment For Sale In Pepsicola, Kathmandu","Suncity, Pepsicola, Pepsicola, Kathmandu",Kathmandu,15200000,4,2,N/A,1,1340 Sq. Feet,20 Feet , Blacktopped,1340 Sq. Feet
"Chapali Plotting Land : Land For Sale In Chapali, Kathmandu","Na, Chapali, Kathmandu",Kathmandu,2650000,0,0,N/A,0,3.3 Aana,20 Feet , Gravelled,N/A Aana
"Sano Bharyang Brand New Home : House For Sale In Sano Bharyang, Kathmandu","Na, Sano Bharyang, Kathmandu",Kathmandu,235000000,5,5,3,1,3 Aana,13 Feet , Gravelled,N/A Aana
"Budhanilkantha Mandikatar : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,27600000,7,6,3,1,4 Aana,13 Feet , Gravelled,N/A Aana
"22 Anna Land Covered Bungalow For Sale At Budhanilkanta. : House For Sale In Budhanilkantha, Kathmandu","Narayanthan, Budhanilkantha, Kathmandu",Kathmandu,70000000,5,4,N/A,10,0-22-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"Classical Traditional Style Bungalow At Chabahil Mitrapark Inside Ringroad. : House For Sale In Chabahil, Kathmandu","Chabahil Inside Ring Road, MITRAPARK, Chabahil, Kathmandu",Kathmandu,50000000,4,4,2,2,0-4.5-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"Brand New House At Dhungedhara, Banasthali, 300 Meter From Ring Road : House For Sale In Banasthali, Kathmandu","Dhungedhara, Banasthali, Banasthali, Kathmandu",Kathmandu,22500000,4,3,2,1,0-3-0-0 Aana,15 Feet , Blacktopped,N/A Aana
"Brand New House At Sano Bharayang, Swayambhu, 500 Meter From Ring Road : House For Sale In Swayambhu, Kathmandu","Sano Bharayang, Swayambhu, Swayambhu, Kathmandu",Kathmandu,23500000,0,3,2,1,0-3-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"Banasthali Dhungedhara Home : House For Sale In Dhungedhara, Kathmandu","Na, Dhungedhara, Kathmandu",Kathmandu,240,5,5,3,1,3 Aana,14 Feet , Gravelled,N/A Aana
"Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,70000000,6,7,3,10,22 Aana,15 Feet , Blacktopped,N/A Aana
"Chabahil Bageswori Homes : House For Sale In Chabahil, Kathmandu","Na, Chabahil, Kathmandu",Kathmandu,500000000,5,5,3,2,4.5 Aana,15 Feet , Blacktopped,N/A Aana
"Siddarthcolony Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,160000000,10,10,4,5,21 Aana,20 Feet , Blacktopped,N/A Aana
"Baluwatar Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,42500000,6,6,3,0,6 Aana,15 Feet , Blacktopped,N/A Aana
"Bhangal New Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,18000000,5,5,3,1,3.1 Aana,13 Feet , Gravelled,N/A Aana
"Budhanilkantha Bhangal : House For Sale In Bhangal, Kathmandu","Na, Bhangal, Kathmandu",Kathmandu,27500000,6,6,3,2,4 Aana,14 Feet , Gravelled,N/A Aana
"House For Sale In Shantinagar, Kathmandu","Prayag Marga-34, Shantinagar, Kathmandu",Kathmandu,33000000,5,3,2.5,1,0-5-0-0 Aana,15 Feet , Blacktopped,N/A Aana
"Hepali Height Breathtaking Bungalow : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,145000000,5,6,3,4,20 Aana,18 Feet , Blacktopped,N/A Aana
"House For Sale In Satdobato, Lalitpur","Tutepani, Satdobato, Lalitpur",Lalitpur,3700000,5,4,3,9,1-5-2-0 Ropani,8 Feet , Blacktopped,N/A Aana
"Brand New : House For Sale In Imadol, Lalitpur","Nayabasti, Imadol, Lalitpur",Lalitpur,21000000,4,5,2.5,1,0-4-0-0 Aana,20 Feet , Gravelled,N/A Aana
"House For Sale In Bhaisepati, Lalitpur","Fulbari Marga, Bhaisepati, Lalitpur",Lalitpur,28500000,5,4,3,1,0-4-3-1 Aana,13 Feet , Blacktopped,2450 Aana
"House On Sale At Green Viallage Society , Ramkot : House For Sale In Ramkot, Kathmandu","solti dobato, Ramkot, Kathmandu",Kathmandu,17500000,4,2,N/A,0,5 Aana,20 Feet,NA,N/A Aana
"2storey House On Sale At Green Viallage Society , Ramkot : House For Sale In Ramkot, Kathmandu","solti dobato, Ramkot, Kathmandu",Kathmandu,15500000,4,2,2,1,4 Aana,0 Feet,NA,N/A Aana
"House On Sale At Green Viallage Society , Ramkot : House For Sale In Ramkot, Kathmandu","ramkot, Ramkot, Kathmandu",Kathmandu,15500000,4,2,N/A,1,4 Aana,20 Feet,NA,N/A Aana
"Land For Sale In Budhanilkantha, Kathmandu","ganesh chowk, Budhanilkantha, Kathmandu",Kathmandu,3200000,0,0,N/A,0,10 Aana,13 Feet , Blacktopped,N/A Aana
"House For Rent In Gairidhara, Kathmandu","Goma Petrol Pump, Gairidhara, Kathmandu",Kathmandu,250000,18,5,2,0,2 Ropani,13 Feet , Blacktopped,N/A Aana
"Land For Sale In Basbari : Land For Sale In Basbari, Kathmandu","Basbari, Basbari, Kathmandu",Kathmandu,3000000,0,0,N/A,0,3 Aana,20 Feet , Blacktopped,N/A Aana
"Hattigauda Ma Sasto Jagga Bikrima : Land For Sale In Budhanilkantha, Kathmandu","hattigauda, Budhanilkantha, Kathmandu",Kathmandu,2300000,0,0,N/A,0,5.5 Aana,13 Feet,NA,N/A Aana
"Furnished Office With MOE Consultancy License : Office Space For Sale In Chabahil, Kathmandu","Kumari building, Chabahil, Kathmandu",Kathmandu,2000000,0,0,N/A,0,1400 Sq. Feet,20 Feet , Blacktopped,1400 Sq. Feet
"Land On Sale In Nagarkot : Land For Sale In Nagarkot, Bhaktapur","hari guru marga, Nagarkot, Bhaktapur",Bhaktapur,400000,0,0,N/A,0,11 Ropani,400 Feet , Blacktopped,11 Ropani
"7.5 Dhur Land At Hetauda : Land For Sale In Hetauda, Makwanpur","Hetauda, Bhairab Road, Milan marg, Hetauda, Makwanpur",Makwanpur,1100000,0,0,0,0,07-5 Dhur,20 Feet , Blacktopped,N/A Sq. Feet
"Budhanilkantha Chapali Home For Sale : House For Sale In Chapali, Kathmandu","Na, Chapali, Kathmandu",Kathmandu,42000000,7,6,3,3,8.5 Aana,13 Feet , Gravelled,N/A Aana
"House For Rent In Paknajol, Kathmandu","538 Paknajol Marg, Paknajol, Kathmandu",Kathmandu,300000,18,4,5,0,0-4-0-0 Aana,18 Feet , Blacktopped,0-3-2-0 Aana
"16ana Land At Tokha : Land For Sale In Tokha, Kathmandu","Tokha, Tokha, Kathmandu",Kathmandu,2500000,0,0,N/A,0,16 Aana,0 Feet,NA,16 Aana
"Land : Land For Sale In Pepsicola, Kathmandu","pepsicola, Pepsicola, Kathmandu",Kathmandu,4000000,0,0,N/A,0,0-5-0-0 Aana,13 Feet , Blacktopped,N/A Aana
"Attractive Flat For Rent : Apartment For Rent In Dhapakhel, Lalitpur","CIVIL HOMES DHAPHAKEL, Dhapakhel, Lalitpur",Lalitpur,30000,2,1,N/A,1,790 Sq. Feet,11 Meter , Blacktopped,790 Sq. Feet
"Imadol Ko 20 Feet Ko Batoko Ghar Bikrima : House For Sale In Imadol, Lalitpur","imadol -4 lalitpur, Imadol, Lalitpur",Lalitpur,19000000,4,3,3,2,0-3-1-0 Aana,0 Feet , Blacktopped,N/A Aana
"House For Sale In Gwarko, Lalitpur","Gwarko Colony, Gwarko, Lalitpur",Lalitpur,21000000,3,2,2.5,1,0-3-0-1 Aana,13 Feet , Blacktopped,N/A Aana
"Brand New 3 BHK : Apartment For Rent In Balkumari, Lalitpur","Westar Apartment, Balkumari, Lalitpur",Lalitpur,50000,3,2,9,0,1259 Sq. Feet,20 Feet , Blacktopped,N/A Sq. Feet
"Land For Rent : Land For Rent In Naxal, Kathmandu","Gairidhara, Naxal, Kathmandu",Kathmandu,200000,0,0,N/A,0,10 Aana,20 Feet , Blacktopped,N/A Aana
"Office Space For Rent : Office Space For Rent In Naxal, Kathmandu","Nagpokhari, Naxal, Kathmandu",Kathmandu,110,0,0,3,0,10 Aana,16 Feet , Blacktopped,N/A Aana
"House For Rent : House For Rent In Budhanilkantha, Kathmandu","budanilkantha, Budhanilkantha, Kathmandu",Kathmandu,100000,3,4,2,1,4 Aana,15 Feet , Blacktopped,N/A Aana
"Office Space For Rent : Office Space For Rent In Naxal, Kathmandu","Bhimsen Marg, hadigaon, Naxal, Kathmandu",Kathmandu,160,0,0,N/A,0,20 Aana,0 Feet,NA,N/A Aana
"House For Rent : House For Rent In Ratopul, Kathmandu","Siphal, Ratopul, Kathmandu",Kathmandu,350000,0,0,5,0,8 Aana,15 Feet , Blacktopped,8000 Sq. Feet
"Land On Sale : Land For Sale In Soltimode, Kathmandu","Chauni Road, Soltimode, Kathmandu",Kathmandu,3000000,0,0,N/A,0,0-4-1-0 Aana,15 Feet,NA,N/A Aana
"House For Rent : House For Rent In Sinamangal, Kathmandu","sinamangal, Sinamangal, Kathmandu",Kathmandu,200000,4,3,3,2,8 Aana,15 Feet , Blacktopped,N/A Aana
"Land On Sale : Land For Sale In Boudha, Kathmandu","Tinchuli Chowk, Boudha, Kathmandu",Kathmandu,3000000,0,0,N/A,0,5.2 Aana,15 Feet , Blacktopped,N/A Aana
"House For Rent : House For Rent In Boudha, Kathmandu","Arunima Education Foundation, Boudha, Kathmandu",Kathmandu,150000,0,0,5,2,3 Aana,0 Feet,NA,N/A Aana
"Land For Rent : Land For Rent In Gyaneshwor, Kathmandu","Kamalpokhari, Gyaneshwor, Kathmandu",Kathmandu,1200000,0,0,N/A,0,4 Ropani,20 Feet , Blacktopped,N/A Aana
"Land For Rent : Land For Rent In Maharajgunj, Kathmandu","Sankha Park, Maharajgunj, Kathmandu",Kathmandu,250000,0,0,N/A,0,2.81 Ropani,16 Feet , Blacktopped,N/A Aana
"Office Space For Rent In Thamel, Kathmandu","Thamel, Thamel, Kathmandu",Kathmandu,120000,12,0,3,2,3 Aana,15 Feet , Blacktopped,N/A Aana
"Office Space For Rent : Office Space For Rent In Maharajgunj, Kathmandu","Teaching Hospital, Maharajgunj, Kathmandu",Kathmandu,130000,12,0,3,3,6 Aana,16 Feet , Blacktopped,3500 Sq. Feet
"House For Rent : House For Rent In Lazimpat, Kathmandu","Nil sarswotisthan, Lazimpat, Kathmandu",Kathmandu,150000,8,3,3,2,4 Aana,16 Feet,NA,N/A Aana
"Land On Sale : Land For Sale In Budhanilkantha, Kathmandu","Ganesh Chowk, Budhanilkantha, Kathmandu",Kathmandu,2500000,0,0,N/A,0,4 Aana,15 Feet , Gravelled,N/A Aana
"Colony House On Rent : House For Rent In Basbari, Kathmandu","Basbari, Basbari, Kathmandu",Kathmandu,150000,4,4,3,1,6 Aana,16 Feet,NA,N/A Aana
"Basundhara Bungalow For Sale : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,85000000,7,8,3,4,14 Aana,14 Feet , Blacktopped,N/A Aana
